ID_RSSD,ID_RSSD_PARENT,fdic_cert_num
773247,1491351,1040
745347,1202258,33552
785473,3908929,29961
785923,2759900,6623
786612,1944204,9889
761806,1145476,18221
741974,3824494,29937
762447,1206760,3705
764030,1082067,20504
790543,2125813,18272
749242,1098844,12437
816603,1115349,23623
749635,1129533,35
766164,3233126,23498
817824,1069778,6384
782306,2631510,17798
767974,3828577,28263
768074,3843628,29058
820048,1202258,1545
804374,4253121,27654
795968,1025309,18053
796572,2500719,29042
754929,1139925,6821
821906,2693273,18467
884303,1133594,597
874845,1208906,13102
831875,3824494,31197
876634,1085509,9622
866000,1048812,7074
836843,1245228,14843
837000,1048894,7072
852218,1039502,628
852320,1074156,9846
881478,2166124,29012
869346,1202258,8751
898458,3973888,23826
899428,1076123,6917
927479,5423510,29941
928421,2183493,10363
928618,1117316,7542
895710,1143623,7799
929978,3851191,28094
812164,1111435,26474
915878,3828045,30012
917742,1199563,5296
933023,2429838,4832
933256,2067007,3931
933966,1029222,21716
958727,1076691,6837
934329,3587146,7946
948036,3530786,11329
959304,2393274,58564
921178,3180060,29922
952677,3854268,28262
936136,1206911,3603
936426,1071397,11124
962890,3823929,57265
936855,1049828,8273
963945,3530786,8056
940311,1129382,34968
968070,4226910,27981
1001152,1104231,19629
1002878,4122722,28178
1017939,1249347,16889
991340,1199602,9087
1007819,2858773,11868
994257,2433312,90914
979375,3852031,32232
1011526,1076262,17735
980661,1025608,17985
981275,3316917,29845
1162017,3015975,27132
1190476,2303910,27237
1216826,3695667,27330
1225761,1120754,27389
1211371,1048812,27290
1216022,4504654,27314
1216321,1398807,27332
1356768,2461016,27408
1422980,1199611,27591
1386251,1133286,27476
1412712,2626299,27572
1456501,2162966,32992
1394676,1275216,27471
1459799,1085509,33010
1436204,3590388,32779
1443266,1073757,25178
1629903,1199563,27102
1718188,3025385,33216
1864197,3726440,33457
1865091,1111435,33381
1883321,1250101,26312
1929247,1133437,33555
1890525,2181426,33503
1893049,1026632,33497
1917301,2260406,27589
1971901,3587146,33621
1918344,1918344,33539
1945247,1117129,33568
1994393,1117316,33702
2119773,2260406,33849
2044811,2260406,33803
2142155,2125813,33867
2142294,1070644,33874
2181444,1039502,34018
2182786,2380443,33124
2209553,2634874,33905
2236821,2840479,33928
2239288,2260406,33935
2262718,1078846,33962
2265456,1037003,34069
2293860,1085509,34004
2193616,3815157,33893
2298995,2260406,34011
2163477,3815157,33879
2328137,2337401,34047
2337335,1049828,34065
2372774,1247679,34102
2339795,2260406,34073
2353595,1478017,13012
2354985,4284536,34444
2444336,1951350,34159
2488264,2078816,34227
2489805,2162966,34221
2362458,1120754,5146
2385514,2385493,34217
2508751,2260406,34395
2434113,2631510,34147
2531991,1120754,34465
2608754,2608763,34598
2562164,3203008,34403
2634191,2003975,30788
2567123,1119794,34588
2634351,2634696,34618
2652092,2652104,34742
2653802,1049828,35120
2618780,2706735,34383
2623627,1111435,34693
2624400,2260406,34681
2646886,1071191,35191
2693264,2260406,34717
2713920,3063622,33785
2667920,1119794,34813
2649122,1206546,34726
2764212,3347292,34888
2743244,2743235,34980
2697963,3260841,34352
2719810,2260406,35063
2797210,1076673,35248
2797724,2797724,35095
2781282,3587146,35205
2808602,2808590,35278
2736291,1129382,34967
2864774,1074156,35483
2787770,3217032,35207
2849801,2849799,35295
2916963,1119794,57047
2917317,3814310,35546
2895424,1073757,35594
2858960,2858951,35444
2941068,3103603,57038
2925666,2925657,35583
2757205,3211601,34603
2758613,3393178,34607
2760232,3251027,35111
2970657,2260406,57103
2938198,2260406,57082
2953418,3251661,35430
2954059,3170539,35541
3029589,2125813,57244
3066025,2380443,57337
3103591,1202258,57391
3076220,3063622,57358
3076248,3063622,57311
3138146,2349815,57512
3158546,3189906,57607
3109043,3553815,57368
3150205,1133286,57414
3150447,1026632,57450
3229875,3005332,57793
3212402,3595084,57463
3213735,1102312,57757
3216017,2260406,57701
3248849,4977397,57742
3303298,1132449,57957
3303953,5374461,57849
3281510,3281510,57716
3325759,3325740,57968
3221468,4105266,57665
3284070,1562859,57803
3348888,3635319,57993
3268249,2728607,57710
3357219,3357219,57944
3317932,1048764,57919
3271799,3271799,57777
3447820,3447820,58140
3449066,4090054,58316
3470239,2433312,58303
3401970,3401970,58481
3404207,2260406,58314
3475083,3815157,58457
3476192,3476192,58596
3437456,4750086,58181
3408728,3488850,58228
3465226,1206546,58458
3465392,1133286,58483
3579589,3594872,58629
3532641,1131497,58463
3614976,3614976,58696
3594005,3903661,58648
3595271,3595271,58513
3637685,3842658,58647
3650808,3884863,58665
3378773,3378764,58210
3715444,4933272,58823
3804535,2125813,58892
3938186,4028712,58979
3835454,4176855,58816
4114567,4114567,59017
4125778,3063622,59043
4210227,3973888,59052
4368351,1068025,59069
5050028,1104231,59093
5278251,1026632,59108
5805451,2349815,57288
802866,1031449,24735
2942690,2942690,57053
